gene,gene_betweeness,gene_degree,replication_time,noncoding_mutation_rate,local_GC_content,HiC_compartment,local_gene_density,wgs_mean_depth,wgs_percent_20x,capture_on_target_rate,capture_mean_depth,capture_pct200,capture_mean_percentGC
ABHD14A,7.36E-06,14,224,1.72E-06,0.53508,0.03603107,21,39.35135,82.27027,0.8924344,105.177,14.4459,59.99226
ABHD14B,0,1,224,1.72E-06,0.53508,0.03603107,21,43.56757,89.37838,0.8937095,111.0656,10.43607,60.14599
ABHD16A,8.52E-05,18,193,2.33E-06,0.51215,0.02011722,45,48.51351,94.97297,0.8919956,95.9377,9.367213,56.97954
ABHD17A,6.23E-06,5,214,2.43E-06,0.59276,0.02595889,38,37.64865,60.43243,0.9117284,55.51148,0.6852459,67.00167
ABHD17B,1.20E-06,2,358,2.89E-06,0.39807,0.004334784,4,50.72973,98,0.9228716,125.6098,13.66885,39.16086
ABHD3,7.97E-07,3,244,3.00E-06,0.43092,0.05687857,5,46.45946,89.37838,0.8923748,88.56393,4.767213,39.98185
ABHD4,4.07E-08,2,380,2.45E-06,0.44028,0.04919528,4,51.86486,93.10811,0.9154705,103.9738,9.409836,50.8588
ABHD5,4.41E-05,3,437,2.28E-06,0.41006,0.03327044,10,44.32432,90.08108,0.8996285,151.3246,24.45246,42.41874
ABHD6,8.49E-08,2,221,2.07E-06,0.46919,0.0433444,11,47.97297,97.08108,0.8609593,114.1246,11.38689,48.15088
ABI1,8.07E-05,39,447,3.55E-06,0.39995,0.03029796,5,43.56757,92.78378,0.8773359,119.6328,13.31148,42.15514
ABI2,0.000331812,73,298,1.91E-06,0.40899,0.02278257,9,47.78378,93.67568,0.8876442,116.6623,12.6459,42.36208
ABI3,5.09E-05,36,346,2.84E-06,0.47312,0.02382217,22,43.40541,85.32432,0.890823,64.65246,7.193443,60.43112
ABI3BP,8.66E-06,8,548,3.07E-06,0.3735875,-0.000612945,10,57.59459,97,0.7373498,70.31148,5.704918,41.2124
ABL1,0.001863735,180,211,2.43E-06,0.4654867,0.02867805,8,49.08108,91.27027,0.8753249,111.6492,13.1082,53.9179
ABL2,0.000133221,35,301,3.34E-06,0.435725,0.005576853,7,46.54054,92.83784,0.8606707,178.2328,26.72459,45.89616
ABLIM1,9.93E-05,28,257,1.96E-06,0.4429912,0.01296193,11,49.35135,95.97297,0.8272198,118.3902,14.9541,47.0254
ABLIM2,8.99E-07,4,230,2.36E-06,0.5086367,0.03571866,4,41.94595,86,0.7520181,63.95082,6.485246,54.57754
ABLIM3,5.23E-06,7,423,1.76E-06,0.4341,0.01687362,8,48.56757,94.91892,0.8345676,111.8492,9.931148,52.65422
ABO,2.99E-06,3,416,2.50E-06,0.49187,0.04498202,17,43.27027,79.83784,0.8489134,47.90164,1.013115,57.76821
ABR,4.89E-05,13,270,3.12E-06,0.548075,0.02217262,12,39.45946,79.56757,0.8063937,93.50164,9.478689,58.12341
ABRA,2.63E-07,4,708,4.11E-06,0.35217,0.0178425,3,57.02703,97,0.9626437,219.459,44.02295,52.43642
ABRACL,0,1,640,2.32E-06,0.39199,0.01624762,9,55.51351,98.2973,0.8722864,210.4656,44.75738,37.91965
ABT1,1.92E-05,14,498,4.77E-06,0.427125,0.02377994,50,45.32432,91.78378,0.9537277,88.5082,6.672131,57.943
ABTB1,1.37E-06,5,336,2.76E-06,0.52221,0.04456161,6,48.91892,85.75676,0.955533,91.31803,12.60984,60.99516
ABTB2,3.33E-07,5,368,2.31E-06,0.4621233,0.03210051,9,44.02703,87.05405,0.6707454,55.4459,1.396721,58.30797
ACAA1,1.30E-05,25,411,1.95E-06,0.48682,0.03160935,10,44.43243,86.86486,0.8593603,89.70164,5.718033,55.06901
ACAA2,0.000131589,51,530,2.53E-06,0.43653,0.03473029,7,42.89189,91.18919,0.9061703,89.35738,6.281967,38.81992
ACACA,0.000251892,66,346,2.58E-06,0.4148625,0.01331777,12,54.24324,98,0.7597024,145.6197,20.33443,43.21241
ACACB,8.32E-06,4,519,2.18E-06,0.4647867,0.02909512,14,48.37838,95.43243,0.8885931,140.423,20.76721,52.97196
ACAD10,2.56E-05,11,203,2.35E-06,0.45658,0.03339864,8,52.08108,97.24324,0.8979552,138.6656,19.04262,50.03488
ACAD11,2.39E-05,18,598,3.43E-06,0.37365,0.01859862,7,51.78378,93.89189,0.6098511,113.2459,9.531148,37.61635
ACAD8,2.63E-05,7,623,4.38E-06,0.44418,0.02142897,9,47.86486,91.43243,0.8623857,84.76393,7.422951,52.25848
ACAD9,1.19E-05,19,382,2.48E-06,0.464195,0.05354503,11,56.05405,96,0.8514303,117.3279,12.81311,53.59577
ACADL,5.35E-07,3,696,3.80E-06,0.35972,0.00218882,5,45.2973,93.21622,0.8640037,101.8721,8.44918,37.11592
ACADM,8.21E-05,49,578,5.73E-06,0.390675,-0.01324586,5,43.45946,91.91892,0.5938166,112.9377,10.54754,36.63878
ACADS,3.90E-06,5,349,2.64E-06,0.49029,0.04185154,21,44.02703,79.67568,0.9148416,96.4918,11.58361,60.58303
ACADSB,0.000109832,7,673,2.89E-06,0.405165,0.01727465,14,46.81081,93.2973,0.8712271,113.0984,10.5377,37.94647
ACADVL,6.31E-05,22,316,2.27E-06,0.52047,0.02089463,30,44.48649,89.59459,0.9296756,101.1738,8.518033,56.07191
ACAN,4.44E-06,6,560,3.15E-06,0.48265,-0.000832696,7,51.45946,92.24324,0.9498141,148.5836,20.97705,55.41881
ACAP1,2.58E-06,4,206,2.25E-06,0.53544,0.03594318,38,42.37838,86.59459,0.9175704,117.1541,14.24262,57.7558
ACAP2,1.25E-06,4,561,5.72E-06,0.4275067,0.0431103,7,58.62162,94.2973,0.8584372,143.3311,20.02951,37.5196
ACAP3,2.24E-08,2,273,3.40E-06,0.62447,0.02773012,26,36.02703,61.97297,0.8864379,42.44918,0.6721311,63.96077
ACAT1,0.000172643,63,695,2.59E-06,0.404975,0.01862145,10,45.67568,94.27027,0.8818292,122.3508,16.43279,37.79948
ACAT2,3.83E-05,38,420,3.30E-06,0.43087,0.0224065,8,52.45946,94.40541,0.7393015,110.8459,10.46885,45.0712
ACBD3,0.000141362,24,214,2.28E-06,0.47581,0.02416004,12,47.45946,88.83784,0.8999393,142.7115,24.01639,43.91887
ACBD4,1.21E-06,2,207,2.59E-06,0.52499,0.0321072,26,47.13514,92.32432,0.8990574,113.2525,13.97705,60.07731
ACBD5,1.84E-06,6,555,3.10E-06,0.410635,0.03622679,7,45.56757,94.10811,0.9011539,140.9738,19.80656,40.7293
ACBD6,2.05E-06,3,445,2.63E-06,0.4179933,0.01167259,10,49.67568,97.10811,0.639645,127.1934,17.19016,37.37059
ACCS,2.50E-08,4,680,2.70E-06,0.45991,0.002661931,7,50.13514,97.45946,0.8782786,112.423,12.64262,55.79422
ACD,0.00028858,63,147,1.59E-06,0.49385,0.04088312,41,44.45946,83.81081,0.9839567,98.01639,6.685246,60.82414
ACE,3.91E-06,6,267,2.12E-06,0.47176,-0.02000917,6,47.54054,88.2973,0.8944784,99.85246,10.99344,57.94039
ACE2,2.98E-06,7,,2.36E-06,0.389305,0.0315327,10,35.64865,84.83784,0.8878026,163.4393,27.28525,40.03297
ACER3,1.11E-06,2,351,2.09E-06,0.42496,0.03629659,7,72.51351,91.27027,0.7841733,113.9607,12.20984,35.2165
ACHE,1.46E-06,2,433,3.13E-06,0.52083,0.04759167,47,43,81.27027,0.9652211,70.8459,4.439344,63.24209
ACIN1,0.000227255,87,185,2.08E-06,0.48918,0.04082062,20,52.21622,93.83784,0.9103122,157.7475,24.86557,50.21705
ACKR1,8.23E-08,2,785,5.71E-06,0.40709,0.0143302,24,54.67568,98,0.9768361,221.9311,37.09508,56.29513
ACKR2,0.000311158,8,396,2.01E-06,0.447915,0.02632872,14,46.24324,94.91892,0.9660308,192.6984,40.77377,52.06339
ACKR3,5.51E-07,5,599,2.36E-06,0.4217,0.009978879,5,52.59459,97.51351,0.9776667,142.8918,20.99016,55.78657
ACKR4,0,1,768,3.40E-06,0.38379,0.02132469,7,66.89189,99.78378,0.9864699,178.7508,32.22295,41.60415
ACLY,0.00021053,55,191,2.48E-06,0.49973,0.03254807,55,72.13514,98.32432,0.8737551,128.623,16.77049,52.64381
ACMSD,0,1,496,3.11E-06,0.41888,0.01455206,4,52.16216,97.18919,0.827706,116.8557,12.9082,47.00313
ACN9,0.000104213,2,987,5.58E-06,0.395615,-0.008533734,5,48.78378,95.48649,0.8282481,96.73115,4.996721,51.80561
ACO1,6.35E-05,19,424,3.73E-06,0.395815,-0.01848015,2,50.75676,97.45946,0.8862023,134.7279,17.3541,44.54037
ACO2,5.17E-05,30,162,2.31E-06,0.513485,0.06945679,16,48.91892,92.40541,0.6701143,139.3541,19.1082,54.51855
ACOT11,7.68E-08,4,415,1.85E-06,0.49567,0.01756964,15,43.64865,87.7027,0.5248481,102.3279,11.47541,59.0041
ACOT13,7.53E-05,24,362,2.73E-06,0.41128,0.02398857,9,55.27027,99.48649,0.8639628,91.8,5.396721,39.95785
ACOT2,7.01E-07,5,169,2.15E-06,0.46478,0.03875077,13,40.72973,81.48649,0.9453693,189.541,43.01311,51.84528
ACOT4,0,1,169,2.15E-06,0.46478,0.03875077,13,45.75676,83.18919,0.9398481,109.541,14.41639,46.95979
ACOT7,8.44E-05,25,176,2.03E-06,0.543955,0.02580471,9,41.13514,79.86486,0.7833751,69.91475,3.806557,58.60667
ACOT8,1.06E-05,10,180,2.70E-06,0.445,0.04820838,36,51.48649,94.62162,0.8666968,120.8557,15.72131,56.39492
ACOT9,3.39E-05,16,,2.30E-06,0.43209,0.04761723,4,34.83784,83.18919,0.8661524,119.9803,15.10492,39.14368
ACOX1,1.76E-05,20,194,2.13E-06,0.52981,0.02194808,36,55.86486,97.59459,0.9163713,128.5836,13.85902,45.26182
ACOX2,0,1,265,2.30E-06,0.44385,0.03303539,11,46.86486,94,0.877478,127.859,14.75082,51.98542
ACOX3,3.54E-06,5,332,2.59E-06,0.5233,0.04723373,7,46.21622,94.35135,0.840631,114.1934,14.38033,51.87132
ACP1,0.000135638,27,624,5.04E-06,0.41613,-0.01806564,6,50.05405,92.13514,0.8725607,132.3607,13.22951,47.00027
ACP2,0.000157284,16,198,1.94E-06,0.4995,0.03764394,19,48.40541,93.51351,0.9072912,112.9967,10.14426,57.16882
ACP5,1.19E-05,11,272,2.49E-06,0.53759,0.03072622,31,46.2973,89.78378,0.9608706,87.61311,5.419672,57.53519
ACPP,1.00E-05,7,765,3.58E-06,0.40229,0.01339206,4,61.81081,98.97297,0.8455597,151.118,18.83607,44.0305
ACSBG1,0,2,314,2.57E-06,0.47962,0.05168493,8,46.16216,91.10811,0.8849097,105.8262,10.76721,56.94691
ACSBG2,0,1,417,2.75E-06,0.46525,0.04026074,21,50.18919,97.75676,0.8657028,134.4656,19.90164,48.36928
